N,C,E,time_ms
1000,2,2995,1.23138
1000,4,2998,2.07171
1000,6,2998,1.87558
1000,8,2996,2.23548
1000,10,2998,3.11546
1000,12,2996,4.5215
1000,14,2996,12.4909
1000,16,2995,49.7992
