n,case,time_ms
100,random,7.8e-05
100,positive,7.5e-05
100,negative,7.2e-05
1000,random,0.000555
1000,positive,0.000621
1000,negative,0.000635
10000,random,0.005811
10000,positive,0.005832
10000,negative,0.006533
100000,random,0.052601
100000,positive,0.05267
100000,negative,0.064384
1000000,random,0.593223
1000000,positive,0.8687
1000000,negative,0.758365
5000000,random,3.11576
5000000,positive,3.86978
5000000,negative,3.42798
